Case,Year,Hydro,SolarPV,Wind,Geothermal,Biomass,FossilThermal,Imports,Other
BAU_Extreme,2050,70221.41113,5276.092318,6671.946013,5460.229798,526.8885344,11273.9281,1905.862714,0
REN100_Normal,2025,32584.67291,521.4932746,620.0584526,0,1027.165645,5324.912478,2237.356518,0
REN100_Normal,2026,32882.02157,1230.766781,771.2144048,0,1018.106608,5636.857992,2439.831983,0
REN100_Normal,2027,33885.91755,1618.080137,779.9952277,0,985.9546156,6905.159445,2453.08879,0
REN100_Normal,2028,33779.27941,1605.650172,2091.623446,0,977.4409427,8340.112592,1879.752557,0
REN100_Normal,2029,35816.06153,2329.175342,2047.789728,0,826.1620066,8714.950945,2183.884651,0
REN100_Normal,2030,36475.79927,2380.769028,2042.518551,0,55.65062315,10495.06032,2584.544164,0
REN100_Normal,2031,43732.43367,2372.87966,2040.969484,0,36.78535906,6220.208466,1774.914788,0
REN100_Normal,2032,44291.00116,2344.300953,2056.051779,0,44.8173385,7724.466329,1945.640563,0
REN100_Normal,2033,44355.41644,2819.45221,5791.636758,0,39.85751809,6258.834441,1896.710754,0
REN100_Normal,2034,44254.56265,4023.342028,6792.547998,0,37.07136005,6464.103617,1875.440237,0
REN100_Normal,2035,45185.60217,5058.524161,6702.562509,0,37.68047773,6835.701572,2062.592586,0
REN100_Normal,2036,46863.90033,5296.541215,6734.678504,0,37.23551351,7403.957413,1912.210486,0
REN100_Normal,2037,49691.18903,5342.574328,6844.041113,0,41.36616067,6835.264219,1899.934248,0
REN100_Normal,2038,52473.93523,5337.572049,6765.711877,0,37.35639423,6557.452661,1841.370978,0
REN100_Normal,2039,54315.76109,5360.407041,6881.376352,0,37.10251124,6880.129,1941.309655,0
REN100_Normal,2040,57357.10234,5299.632545,6777.9742,0,33.1144911,6581.527578,1813.22443,0
REN100_Normal,2041,59759.33341,5321.079176,6880.702207,0,28.02851353,6414.243209,1859.289812,0
REN100_Normal,2042,62069.82015,5335.082637,6795.492559,0,24.68362753,6502.380835,1920.805125,0
REN100_Normal,2043,65313.83831,5360.850712,6807.572652,0,25.05048783,5661.830721,1868.473425,0
REN100_Normal,2044,67558.27424,5355.421409,6819.997452,0,25.80301817,5741.626648,1935.531013,0
REN100_Normal,2045,70845.47084,5252.300506,6889.121197,0,24.66985552,4924.414718,1914.729945,0
REN100_Normal,2046,74923.24175,5414.754651,6829.050444,0,24.78408896,3318.90138,1738.92549,0
REN100_Normal,2047,77479.29798,5382.312447,6799.249096,0,55.93444624,3119.292506,1815.373997,0
REN100_Normal,2048,81204.62031,5351.554178,6665.318243,0,57.04677533,2137.315144,1638.338388,0
REN100_Normal,2049,78516.6241,5377.331055,6831.850802,5488.211444,292.3268868,1093.113932,1855.868667,0
REN100_Normal,2050,80205.13748,5276.092318,6671.946013,5460.229798,372.0617922,0,1844.8638,0
REN100_Extreme,2025,30521.50279,521.4932746,620.0584526,0,966.0252402,7678.564656,2008.01486,0
REN100_Extreme,2026,30713.31271,1230.766781,771.2144048,0,970.124651,8362.604469,1930.776328,0
REN100_Extreme,2027,31761.70184,1618.080137,779.9952277,0,966.7923391,9512.40063,1974.967013,0
REN100_Extreme,2028,33491.33077,2378.502562,2091.623446,0,603.2705424,8302.355383,1806.776414,0
REN100_Extreme,2029,33379.10972,2329.175342,2047.789728,0,859.6792015,11386.16062,1916.109601,0
REN100_Extreme,2030,34059.68804,2380.769028,2042.518551,369.348727,269.5272121,11292.90561,3295.214564,0
REN100_Extreme,2031,40548.83838,2372.87966,2040.969484,367.56615,182.8848967,8890.138069,1774.914788,0
REN100_Extreme,2032,41201.39308,2344.300953,2056.051779,368.6736069,141.9718239,10302.63748,1945.640563,0
REN100_Extreme,2033,40851.38559,3283.479843,6789.912547,368.6543449,123.6842354,7848.080813,1896.710754,0
REN100_Extreme,2034,40995.04956,5091.312723,6792.547998,368.3690538,179.1074946,8145.240831,1875.440237,0
REN100_Extreme,2035,41873.43639,5309.729388,6702.562509,370.2950889,186.5220025,9377.525516,2062.592586,0
REN100_Extreme,2036,44915.00711,5296.541215,6734.678504,366.5502198,124.6234873,8898.912439,1912.210486,0
REN100_Extreme,2037,48222.41798,5342.574328,6844.041113,370.3308877,118.8809253,7856.189617,1899.934248,0
REN100_Extreme,2038,50040.86495,5337.572049,6765.711877,366.4023613,119.3024211,8542.174559,1841.370978,0
REN100_Extreme,2039,52230.78535,5360.407041,6881.376352,973.5435534,118.722098,7909.941597,1941.309655,0
REN100_Extreme,2040,54752.88328,5299.632545,6777.9742,972.0345758,117.9401767,8128.886378,1813.22443,0
