Case,Year,ModelFromNode,ModelToNode,FromNode,ToNode,ExistingCap_MW,NewCircuits,PeakAbsFlow_MW,Utilization,Capex_MUSD
BAU_Extreme,2037,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2037,ZSX,PER,ZSO,PER,50,0,46.29968053,0.9259936105,0
BAU_Extreme,2038,ZNX,ZNO,ZNO,ZNX,341.8,0,281.1504205,0.8225582811,0
BAU_Extreme,2038,ZNX,ZSX,ZNO,ZSO,664,0,377.1806891,0.5680432064,0
BAU_Extreme,2038,ZNO,ZSX,ZNX,ZSO,1732.05,0,679.863544,0.3925195832,0
BAU_Extreme,2038,ZNO,ZSO,ZNX,ZSX,673.65,0,76.5264119,0.1135996614,0
BAU_Extreme,2038,ZNO,COL,ZNX,COL,460,0,399.0378327,0.8674735492,0
BAU_Extreme,2038,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2038,ZSX,PER,ZSO,PER,50,0,46.91109681,0.9382219363,0
BAU_Extreme,2039,ZNX,ZNO,ZNO,ZNX,341.8,0,341.8,1,0
BAU_Extreme,2039,ZNX,ZSX,ZNO,ZSO,664,0,409.0354687,0.6160172721,0
BAU_Extreme,2039,ZNO,ZSX,ZNX,ZSO,1732.05,0,896.0703491,0.5173466985,0
BAU_Extreme,2039,ZNO,ZSO,ZNX,ZSX,673.65,0,104.4021638,0.154979832,0
BAU_Extreme,2039,ZNO,COL,ZNX,COL,460,0,433.4041206,0.942182871,0
BAU_Extreme,2039,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2039,ZSX,PER,ZSO,PER,50,0,45.21312653,0.9042625306,0
BAU_Extreme,2040,ZNX,ZNO,ZNO,ZNX,341.8,0,341.8,1,0
BAU_Extreme,2040,ZNX,ZSX,ZNO,ZSO,664,0,481.9796292,0.7258729355,0
BAU_Extreme,2040,ZNO,ZSX,ZNX,ZSO,1732.05,0,1068.714671,0.6170229907,0
BAU_Extreme,2040,ZNO,ZSO,ZNX,ZSX,673.65,0,131.3663426,0.1950068175,0
BAU_Extreme,2040,ZNO,COL,ZNX,COL,460,0,413.6257102,0.8991863266,0
BAU_Extreme,2040,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2040,ZSX,PER,ZSO,PER,50,0,47.95331384,0.9590662769,0
BAU_Extreme,2041,ZNX,ZNO,ZNO,ZNX,341.8,0,341.8,1,0
BAU_Extreme,2041,ZNX,ZSX,ZNO,ZSO,664,0,444.0495315,0.6687492944,0
BAU_Extreme,2041,ZNO,ZSX,ZNX,ZSO,1732.05,0,1092.313246,0.6306476405,0
BAU_Extreme,2041,ZNO,ZSO,ZNX,ZSX,673.65,0,121.5889495,0.1804927626,0
BAU_Extreme,2041,ZNO,COL,ZNX,COL,460,0,410.4897953,0.8923691202,0
BAU_Extreme,2041,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2041,ZSX,PER,ZSO,PER,50,0,49.43440382,0.9886880764,0
BAU_Extreme,2042,ZNX,ZNO,ZNO,ZNX,341.8,0,341.8,1,0
BAU_Extreme,2042,ZNX,ZSX,ZNO,ZSO,664,0,560.7633114,0.8445230593,0
BAU_Extreme,2042,ZNO,ZSX,ZNX,ZSO,1732.05,0,1231.641625,0.7110889553,0
BAU_Extreme,2042,ZNO,ZSO,ZNX,ZSX,673.65,0,197.4860701,0.2931582722,0
BAU_Extreme,2042,ZNO,COL,ZNX,COL,460,0,455.0603238,0.9892615734,0
BAU_Extreme,2042,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2042,ZSX,PER,ZSO,PER,50,0,48.07600788,0.9615201576,0
