Case,Year,FuelCategory,CO2_kt,Unit
BAU_Normal,2025,HYDRO,0.000000000,ktCO2
BAU_Normal,2025,PV,0.000000000,ktCO2
BAU_Normal,2025,WIND,0.000000000,ktCO2
BAU_Normal,2025,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2025,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2025,DIESEL,0.000000000,ktCO2
BAU_Normal,2025,FUEL OIL,3331.452772143,ktCO2
BAU_Normal,2025,GAS,313.082957403,ktCO2
BAU_Normal,2025,IMPORTS,0.000000000,ktCO2
BAU_Normal,2025,OTHER,0.000000000,ktCO2
BAU_Normal,2026,HYDRO,0.000000000,ktCO2
BAU_Normal,2026,PV,0.000000000,ktCO2
BAU_Normal,2026,WIND,0.000000000,ktCO2
BAU_Normal,2026,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2026,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2026,DIESEL,0.000000000,ktCO2
BAU_Normal,2026,FUEL OIL,3556.912855449,ktCO2
BAU_Normal,2026,GAS,347.578487571,ktCO2
BAU_Normal,2026,IMPORTS,0.000000000,ktCO2
BAU_Normal,2026,OTHER,0.000000000,ktCO2
BAU_Normal,2027,HYDRO,0.000000000,ktCO2
BAU_Normal,2027,PV,0.000000000,ktCO2
BAU_Normal,2027,WIND,0.000000000,ktCO2
BAU_Normal,2027,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2027,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2027,DIESEL,226.130621514,ktCO2
BAU_Normal,2027,FUEL OIL,3453.076703381,ktCO2
BAU_Normal,2027,GAS,781.568897218,ktCO2
BAU_Normal,2027,IMPORTS,0.000000000,ktCO2
BAU_Normal,2027,OTHER,0.000000000,ktCO2
BAU_Normal,2028,HYDRO,0.000000000,ktCO2
BAU_Normal,2028,PV,0.000000000,ktCO2
BAU_Normal,2028,WIND,0.000000000,ktCO2
BAU_Normal,2028,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2028,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2028,DIESEL,0.000000000,ktCO2
BAU_Normal,2028,FUEL OIL,2720.069896847,ktCO2
BAU_Normal,2028,GAS,1402.210888740,ktCO2
BAU_Normal,2028,IMPORTS,0.000000000,ktCO2
BAU_Normal,2028,OTHER,0.000000000,ktCO2
BAU_Normal,2029,HYDRO,0.000000000,ktCO2
BAU_Normal,2029,PV,0.000000000,ktCO2
BAU_Normal,2029,WIND,0.000000000,ktCO2
BAU_Normal,2029,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2029,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2029,DIESEL,378.844454155,ktCO2
BAU_Normal,2029,FUEL OIL,3411.730178668,ktCO2
BAU_Normal,2029,GAS,1905.757871551,ktCO2
BAU_Normal,2029,IMPORTS,0.000000000,ktCO2
BAU_Normal,2029,OTHER,0.000000000,ktCO2
BAU_Normal,2030,HYDRO,0.000000000,ktCO2
BAU_Normal,2030,PV,0.000000000,ktCO2
BAU_Normal,2030,WIND,0.000000000,ktCO2
BAU_Normal,2030,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2030,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2030,DIESEL,472.671958598,ktCO2
BAU_Normal,2030,FUEL OIL,3730.367418099,ktCO2
BAU_Normal,2030,GAS,2697.303065862,ktCO2
BAU_Normal,2030,IMPORTS,0.000000000,ktCO2
BAU_Normal,2030,OTHER,0.000000000,ktCO2
BAU_Normal,2031,HYDRO,0.000000000,ktCO2
BAU_Normal,2031,PV,0.000000000,ktCO2
BAU_Normal,2031,WIND,0.000000000,ktCO2
BAU_Normal,2031,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2031,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2031,DIESEL,0.000000000,ktCO2
BAU_Normal,2031,FUEL OIL,1712.247071579,ktCO2
BAU_Normal,2031,GAS,1464.654829217,ktCO2
BAU_Normal,2031,IMPORTS,0.000000000,ktCO2
BAU_Normal,2031,OTHER,0.000000000,ktCO2
BAU_Normal,2032,HYDRO,0.000000000,ktCO2
BAU_Normal,2032,PV,0.000000000,ktCO2
BAU_Normal,2032,WIND,0.000000000,ktCO2
BAU_Normal,2032,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2032,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2032,DIESEL,36.265935363,ktCO2
BAU_Normal,2032,FUEL OIL,2180.265693252,ktCO2
BAU_Normal,2032,GAS,1930.184202845,ktCO2
BAU_Normal,2032,IMPORTS,0.000000000,ktCO2
BAU_Normal,2032,OTHER,0.000000000,ktCO2
BAU_Normal,2033,HYDRO,0.000000000,ktCO2
BAU_Normal,2033,PV,0.000000000,ktCO2
BAU_Normal,2033,WIND,0.000000000,ktCO2
BAU_Normal,2033,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2033,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2033,DIESEL,0.000000000,ktCO2
BAU_Normal,2033,FUEL OIL,1867.532038380,ktCO2
BAU_Normal,2033,GAS,1643.763678720,ktCO2
BAU_Normal,2033,IMPORTS,0.000000000,ktCO2
BAU_Normal,2033,OTHER,0.000000000,ktCO2
BAU_Normal,2034,HYDRO,0.000000000,ktCO2
BAU_Normal,2034,PV,0.000000000,ktCO2
BAU_Normal,2034,WIND,0.000000000,ktCO2
BAU_Normal,2034,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2034,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2034,DIESEL,0.000000000,ktCO2
BAU_Normal,2034,FUEL OIL,1864.224450336,ktCO2
BAU_Normal,2034,GAS,1520.783744137,ktCO2
BAU_Normal,2034,IMPORTS,0.000000000,ktCO2
BAU_Normal,2034,OTHER,0.000000000,ktCO2
BAU_Normal,2035,HYDRO,0.000000000,ktCO2
BAU_Normal,2035,PV,0.000000000,ktCO2
BAU_Normal,2035,WIND,0.000000000,ktCO2
BAU_Normal,2035,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2035,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2035,DIESEL,0.000000000,ktCO2
BAU_Normal,2035,FUEL OIL,1884.488930319,ktCO2
BAU_Normal,2035,GAS,1688.368626542,ktCO2
BAU_Normal,2035,IMPORTS,0.000000000,ktCO2
BAU_Normal,2035,OTHER,0.000000000,ktCO2
BAU_Normal,2036,HYDRO,0.000000000,ktCO2
BAU_Normal,2036,PV,0.000000000,ktCO2
BAU_Normal,2036,WIND,0.000000000,ktCO2
BAU_Normal,2036,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2036,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2036,DIESEL,60.949391803,ktCO2
BAU_Normal,2036,FUEL OIL,2063.662280697,ktCO2
BAU_Normal,2036,GAS,1750.098823318,ktCO2
BAU_Normal,2036,IMPORTS,0.000000000,ktCO2
BAU_Normal,2036,OTHER,0.000000000,ktCO2
BAU_Normal,2037,HYDRO,0.000000000,ktCO2
BAU_Normal,2037,PV,0.000000000,ktCO2
BAU_Normal,2037,WIND,0.000000000,ktCO2
BAU_Normal,2037,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2037,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2037,DIESEL,108.609302817,ktCO2
BAU_Normal,2037,FUEL OIL,2028.215026843,ktCO2
BAU_Normal,2037,GAS,1823.526279294,ktCO2
BAU_Normal,2037,IMPORTS,0.000000000,ktCO2
BAU_Normal,2037,OTHER,0.000000000,ktCO2
BAU_Normal,2038,HYDRO,0.000000000,ktCO2
BAU_Normal,2038,PV,0.000000000,ktCO2
BAU_Normal,2038,WIND,0.000000000,ktCO2
BAU_Normal,2038,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2038,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2038,DIESEL,34.831216003,ktCO2
BAU_Normal,2038,FUEL OIL,2046.429371632,ktCO2
BAU_Normal,2038,GAS,1735.039638850,ktCO2
BAU_Normal,2038,IMPORTS,0.000000000,ktCO2
BAU_Normal,2038,OTHER,0.000000000,ktCO2
BAU_Normal,2039,HYDRO,0.000000000,ktCO2
BAU_Normal,2039,PV,0.000000000,ktCO2
BAU_Normal,2039,WIND,0.000000000,ktCO2
BAU_Normal,2039,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2039,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2039,DIESEL,358.575116039,ktCO2
BAU_Normal,2039,FUEL OIL,2126.769101762,ktCO2
BAU_Normal,2039,GAS,1844.110966665,ktCO2
BAU_Normal,2039,IMPORTS,0.000000000,ktCO2
BAU_Normal,2039,OTHER,0.000000000,ktCO2
BAU_Normal,2040,HYDRO,0.000000000,ktCO2
BAU_Normal,2040,PV,0.000000000,ktCO2
BAU_Normal,2040,WIND,0.000000000,ktCO2
BAU_Normal,2040,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2040,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2040,DIESEL,2.832785306,ktCO2
BAU_Normal,2040,FUEL OIL,1623.601215973,ktCO2
BAU_Normal,2040,GAS,1455.994734345,ktCO2
BAU_Normal,2040,IMPORTS,0.000000000,ktCO2
BAU_Normal,2040,OTHER,0.000000000,ktCO2
BAU_Normal,2041,HYDRO,0.000000000,ktCO2
BAU_Normal,2041,PV,0.000000000,ktCO2
BAU_Normal,2041,WIND,0.000000000,ktCO2
BAU_Normal,2041,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2041,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2041,DIESEL,59.834080768,ktCO2
BAU_Normal,2041,FUEL OIL,1716.219647654,ktCO2
BAU_Normal,2041,GAS,1557.593805010,ktCO2
BAU_Normal,2041,IMPORTS,0.000000000,ktCO2
BAU_Normal,2041,OTHER,0.000000000,ktCO2
BAU_Normal,2042,HYDRO,0.000000000,ktCO2
BAU_Normal,2042,PV,0.000000000,ktCO2
BAU_Normal,2042,WIND,0.000000000,ktCO2
BAU_Normal,2042,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2042,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2042,DIESEL,217.213369431,ktCO2
BAU_Normal,2042,FUEL OIL,1985.868382237,ktCO2
BAU_Normal,2042,GAS,1392.736559564,ktCO2
BAU_Normal,2042,IMPORTS,0.000000000,ktCO2
BAU_Normal,2042,OTHER,0.000000000,ktCO2
BAU_Normal,2043,HYDRO,0.000000000,ktCO2
BAU_Normal,2043,PV,0.000000000,ktCO2
BAU_Normal,2043,WIND,0.000000000,ktCO2
BAU_Normal,2043,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2043,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2043,DIESEL,131.952291533,ktCO2
BAU_Normal,2043,FUEL OIL,1609.940916659,ktCO2
BAU_Normal,2043,GAS,1097.282212537,ktCO2
BAU_Normal,2043,IMPORTS,0.000000000,ktCO2
BAU_Normal,2043,OTHER,0.000000000,ktCO2
BAU_Normal,2044,HYDRO,0.000000000,ktCO2
BAU_Normal,2044,PV,0.000000000,ktCO2
BAU_Normal,2044,WIND,0.000000000,ktCO2
BAU_Normal,2044,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2044,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2044,DIESEL,272.533844036,ktCO2
BAU_Normal,2044,FUEL OIL,1893.947806269,ktCO2
BAU_Normal,2044,GAS,1337.396374217,ktCO2
BAU_Normal,2044,IMPORTS,0.000000000,ktCO2
BAU_Normal,2044,OTHER,0.000000000,ktCO2
BAU_Normal,2045,HYDRO,0.000000000,ktCO2
BAU_Normal,2045,PV,0.000000000,ktCO2
BAU_Normal,2045,WIND,0.000000000,ktCO2
BAU_Normal,2045,GEOTHERMAL,0.000000000,ktCO2
BAU_Normal,2045,BIOENERGY,0.000000000,ktCO2
BAU_Normal,2045,DIESEL,177.062172150,ktCO2
BAU_Normal,2045,FUEL OIL,1862.141899171,ktCO2
BAU_Normal,2045,GAS,1283.426905760,ktCO2
BAU_Normal,2045,IMPORTS,0.000000000,ktCO2
BAU_Normal,2045,OTHER,0.000000000,ktCO2
