Case,Year,FuelCategory,NewCapacity_MW,Unit
BAU_Normal,2025,HYDRO,0.000000000,MW
BAU_Normal,2025,PV,200.000000000,MW
BAU_Normal,2025,WIND,110.000000000,MW
BAU_Normal,2025,GEOTHERMAL,0.000000000,MW
BAU_Normal,2025,BIOENERGY,0.000000000,MW
BAU_Normal,2025,DIESEL,0.000000000,MW
BAU_Normal,2025,FUEL OIL,0.000000000,MW
BAU_Normal,2025,GAS,0.000000000,MW
BAU_Normal,2025,IMPORTS,0.000000000,MW
BAU_Normal,2025,OTHER,0.000000000,MW
BAU_Normal,2026,HYDRO,69.810000000,MW
BAU_Normal,2026,PV,317.600000000,MW
BAU_Normal,2026,WIND,45.000000000,MW
BAU_Normal,2026,GEOTHERMAL,0.000000000,MW
BAU_Normal,2026,BIOENERGY,0.000000000,MW
BAU_Normal,2026,DIESEL,0.000000000,MW
BAU_Normal,2026,FUEL OIL,0.000000000,MW
BAU_Normal,2026,GAS,0.000000000,MW
BAU_Normal,2026,IMPORTS,0.000000000,MW
BAU_Normal,2026,OTHER,0.000000000,MW
BAU_Normal,2027,HYDRO,158.400000000,MW
BAU_Normal,2027,PV,170.000000000,MW
BAU_Normal,2027,WIND,0.000000000,MW
BAU_Normal,2027,GEOTHERMAL,0.000000000,MW
BAU_Normal,2027,BIOENERGY,0.000000000,MW
BAU_Normal,2027,DIESEL,0.000000000,MW
BAU_Normal,2027,FUEL OIL,0.000000000,MW
BAU_Normal,2027,GAS,110.000000000,MW
BAU_Normal,2027,IMPORTS,0.000000000,MW
BAU_Normal,2027,OTHER,0.000000000,MW
BAU_Normal,2028,HYDRO,50.000000000,MW
BAU_Normal,2028,PV,330.000000000,MW
BAU_Normal,2028,WIND,380.000000000,MW
BAU_Normal,2028,GEOTHERMAL,0.000000000,MW
BAU_Normal,2028,BIOENERGY,0.000000000,MW
BAU_Normal,2028,DIESEL,0.000000000,MW
BAU_Normal,2028,FUEL OIL,0.000000000,MW
BAU_Normal,2028,GAS,400.000000000,MW
BAU_Normal,2028,IMPORTS,0.000000000,MW
BAU_Normal,2028,OTHER,0.000000000,MW
BAU_Normal,2029,HYDRO,249.500000000,MW
BAU_Normal,2029,PV,0.000000000,MW
BAU_Normal,2029,WIND,0.000000000,MW
BAU_Normal,2029,GEOTHERMAL,0.000000000,MW
BAU_Normal,2029,BIOENERGY,0.000000000,MW
BAU_Normal,2029,DIESEL,0.000000000,MW
BAU_Normal,2029,FUEL OIL,0.000000000,MW
BAU_Normal,2029,GAS,0.000000000,MW
BAU_Normal,2029,IMPORTS,0.000000000,MW
BAU_Normal,2029,OTHER,0.000000000,MW
BAU_Normal,2030,HYDRO,250.000000000,MW
BAU_Normal,2030,PV,0.000000000,MW
BAU_Normal,2030,WIND,0.000000000,MW
BAU_Normal,2030,GEOTHERMAL,0.000000000,MW
BAU_Normal,2030,BIOENERGY,0.000000000,MW
