Case,Year,Month,Reservoir,Volume_Hm3,Turbine_Hm3,Spill_Hm3,Generation_GWh
BAU_Normal,2026,m5,N039_Paute_Cardenillo,8.0825,0,0,0
BAU_Normal,2026,m6,E003_Mazar,252.126491,288.8719628,0,101.105187
BAU_Normal,2026,m6,E004_Paute_Molino,120,229.8719628,0,357.2593422
BAU_Normal,2026,m6,E005_Pucara,25,46.89026337,253.1097366,45.95245811
BAU_Normal,2026,m6,N039_Paute_Cardenillo,9.0825,0,0,0
BAU_Normal,2026,m7,E003_Mazar,291.804256,222.3222351,0,77.81278227
BAU_Normal,2026,m7,E004_Paute_Molino,120,223.3222351,0,347.0799737
BAU_Normal,2026,m7,E005_Pucara,25,48.00967186,251.9903281,47.04947842
BAU_Normal,2026,m7,N039_Paute_Cardenillo,3.0825,0,7,0
BAU_Normal,2026,m8,E003_Mazar,322.0308646,231.7733914,0,81.12068699
BAU_Normal,2026,m8,E004_Paute_Molino,120,232.7733914,0,361.7686458
BAU_Normal,2026,m8,E005_Pucara,25,47.16330843,252.8366916,46.22004226
BAU_Normal,2026,m8,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2026,m9,E003_Mazar,238.192255,220.9347639,124.9038456,77.32716737
BAU_Normal,2026,m9,E004_Paute_Molino,120,346.8386095,0,539.0450057
BAU_Normal,2026,m9,E005_Pucara,25,31.24524791,268.7547521,30.62034295
BAU_Normal,2026,m9,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2026,m10,E003_Mazar,219.198151,191.738812,89.25529197,67.10858421
BAU_Normal,2026,m10,E004_Paute_Molino,120,281.994104,0,438.2658366
BAU_Normal,2026,m10,E005_Pucara,25,34.11471189,265.8852881,33.43241765
BAU_Normal,2026,m10,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2026,m11,E003_Mazar,205,203.7054139,72.49273716,71.29689485
BAU_Normal,2026,m11,E004_Paute_Molino,102.813168,294.384983,0,457.5233277
BAU_Normal,2026,m11,E005_Pucara,25,31.17457385,268.8254262,30.55108237
BAU_Normal,2026,m11,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2026,m12,E003_Mazar,205,195.9984758,66.0015242,68.59946653
BAU_Normal,2026,m12,E004_Paute_Molino,60,305.813168,0,475.284632
BAU_Normal,2026,m12,E005_Pucara,25,28.61867255,271.3813275,28.0462991
BAU_Normal,2026,m12,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2027,m1,E003_Mazar,205,229.5383863,32.46161369,80.33843521
BAU_Normal,2027,m1,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2027,m1,E005_Pucara,25,28.87635586,271.1236441,28.29882875
BAU_Normal,2027,m1,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2027,m2,E003_Mazar,205,232.0944058,29.90559423,81.23304202
BAU_Normal,2027,m2,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2027,m2,E005_Pucara,25,35.0648779,264.9351221,34.36358034
BAU_Normal,2027,m2,N039_Paute_Cardenillo,5.0825,0,0,0
BAU_Normal,2027,m3,E003_Mazar,234.479027,232.520973,0,81.38234053
BAU_Normal,2027,m3,E004_Paute_Molino,60,233.520973,0,362.9305121
BAU_Normal,2027,m3,E005_Pucara,25,47.23109908,252.7689009,46.2864771
BAU_Normal,2027,m3,N039_Paute_Cardenillo,6.0825,0,0,0
BAU_Normal,2027,m4,E003_Mazar,223.6677242,272.8113029,0,95.483956
BAU_Normal,2027,m4,E004_Paute_Molino,120,213.8113029,0,332.2983999
BAU_Normal,2027,m4,E005_Pucara,25,49.17788158,250.8221184,48.19432395
BAU_Normal,2027,m4,N039_Paute_Cardenillo,7.0825,0,0,0
BAU_Normal,2027,m5,E003_Mazar,240.2034856,245.4642386,0,85.91248351
BAU_Normal,2027,m5,E004_Paute_Molino,120,246.4642386,0,383.0465042
BAU_Normal,2027,m5,E005_Pucara,25,48.8291443,251.1708557,47.85256142
BAU_Normal,2027,m5,N039_Paute_Cardenillo,8.0825,0,0,0
BAU_Normal,2027,m6,E003_Mazar,317.2813002,184.9221854,0,64.72276489
BAU_Normal,2027,m6,E004_Paute_Molino,60,245.9221854,0,382.2040631
BAU_Normal,2027,m6,E005_Pucara,25,47.46271468,252.5372853,46.51346038
BAU_Normal,2027,m6,N039_Paute_Cardenillo,9.0825,0,0,0
