Hydrology,Scenario,w,Year,Tech,Capacity_MW
Baseline,REF,w23,2038,GEOTHERMAL,200
Baseline,REF,w23,2038,HYDRO,10502
Baseline,REF,w23,2038,NUCLEAR,0
Baseline,REF,w23,2038,PV,300
Baseline,REF,w23,2038,WIND,1030
Baseline,REF,w23,2039,BIOENERGY,150
Baseline,REF,w23,2039,DIESEL,550
Baseline,REF,w23,2039,FUEL OIL,720
Baseline,REF,w23,2039,GAS,475.36
Baseline,REF,w23,2039,GEOTHERMAL,200
Baseline,REF,w23,2039,HYDRO,10802
Baseline,REF,w23,2039,NUCLEAR,0
Baseline,REF,w23,2039,PV,300
Baseline,REF,w23,2039,WIND,1030
Baseline,REF,w23,2040,BIOENERGY,150
Baseline,REF,w23,2040,DIESEL,300
Baseline,REF,w23,2040,FUEL OIL,720
Baseline,REF,w23,2040,GAS,475.36
Baseline,REF,w23,2040,GEOTHERMAL,200
Baseline,REF,w23,2040,HYDRO,11102
Baseline,REF,w23,2040,NUCLEAR,0
Baseline,REF,w23,2040,PV,300
Baseline,REF,w23,2040,WIND,1155
Baseline,REF,w23,2041,BIOENERGY,150
Baseline,REF,w23,2041,DIESEL,300
Baseline,REF,w23,2041,FUEL OIL,720
Baseline,REF,w23,2041,GAS,475.36
Baseline,REF,w23,2041,GEOTHERMAL,200
Baseline,REF,w23,2041,HYDRO,11102
Baseline,REF,w23,2041,NUCLEAR,0
Baseline,REF,w23,2041,PV,550
Baseline,REF,w23,2041,WIND,1280
Baseline,REF,w23,2042,BIOENERGY,150
Baseline,REF,w23,2042,DIESEL,300
Baseline,REF,w23,2042,FUEL OIL,720
Baseline,REF,w23,2042,GAS,475.36
Baseline,REF,w23,2042,GEOTHERMAL,200
Baseline,REF,w23,2042,HYDRO,11102
Baseline,REF,w23,2042,NUCLEAR,0
Baseline,REF,w23,2042,PV,550
Baseline,REF,w23,2042,WIND,1280
Baseline,REF,w23,2043,BIOENERGY,150
Baseline,REF,w23,2043,DIESEL,300
Baseline,REF,w23,2043,FUEL OIL,720
Baseline,REF,w23,2043,GAS,475.36
Baseline,REF,w23,2043,GEOTHERMAL,200
Baseline,REF,w23,2043,HYDRO,11102
Baseline,REF,w23,2043,NUCLEAR,0
Baseline,REF,w23,2043,PV,550
Baseline,REF,w23,2043,WIND,1280
Baseline,REF,w23,2044,BIOENERGY,150
Baseline,REF,w23,2044,DIESEL,300
Baseline,REF,w23,2044,FUEL OIL,720
Baseline,REF,w23,2044,GAS,475.36
Baseline,REF,w23,2044,GEOTHERMAL,200
Baseline,REF,w23,2044,HYDRO,11102
Baseline,REF,w23,2044,NUCLEAR,0
Baseline,REF,w23,2044,PV,550
Baseline,REF,w23,2044,WIND,1280
Baseline,REF,w23,2045,BIOENERGY,0
Baseline,REF,w23,2045,DIESEL,0
Baseline,REF,w23,2045,FUEL OIL,0
Baseline,REF,w23,2045,GAS,1900
Baseline,REF,w23,2045,GEOTHERMAL,200
Baseline,REF,w23,2045,HYDRO,11102
Baseline,REF,w23,2045,NUCLEAR,0
Baseline,REF,w23,2045,PV,750
Baseline,REF,w23,2045,WIND,1205
Baseline,REF,w23,2046,BIOENERGY,0
Baseline,REF,w23,2046,DIESEL,0
Baseline,REF,w23,2046,FUEL OIL,0
Baseline,REF,w23,2046,GAS,1900
Baseline,REF,w23,2046,GEOTHERMAL,200
Baseline,REF,w23,2046,HYDRO,11102
Baseline,REF,w23,2046,NUCLEAR,0
Baseline,REF,w23,2046,PV,750
Baseline,REF,w23,2046,WIND,1205
Baseline,REF,w23,2047,BIOENERGY,0
Baseline,REF,w23,2047,DIESEL,0
Baseline,REF,w23,2047,FUEL OIL,0
Baseline,REF,w23,2047,GAS,1900
Baseline,REF,w23,2047,GEOTHERMAL,200
Baseline,REF,w23,2047,HYDRO,11102
