Hydrology,Scenario,EnsembleN,Representative_w,MeanTotalCost_MUSD,P10TotalCost_MUSD,P50TotalCost_MUSD,P90TotalCost_MUSD,RepTotalCost_MUSD,MeanCO2_kt,P10CO2_kt,P50CO2_kt,P90CO2_kt,RepCO2_kt,MeanENS_GWh,P10ENS_GWh,P50ENS_GWh,P90ENS_GWh,RepENS_GWh,MeanCAPEX_MUSD,MeanOPEX_MUSD,MeanTransmissionCost_MUSD,MeanEmissionCost_MUSD,MeanReserveCost_MUSD,MeanPNSCost_MUSD,MeanImports_GWh,ProbENSPositive_pct,AF_mean,AF_p10,AF_p50,AF_p90,ReservoirMean_Hm3,Correlation_AF_CO2,Correlation_AF_Imports,Correlation_AF_PNS,MeanInstalledCapacity2050_MW,P10InstalledCapacity2050_MW,P50InstalledCapacity2050_MW,P90InstalledCapacity2050_MW,RepInstalledCapacity2050_MW
Baseline,REF,100,w23,33000.13688,30348.56772,31192.8911,32952.01347,30734.25839,55183.85703,48383.33866,55311.21818,63122.36781,57983.08087,39.86115429,1.341095113,26.27975247,88.73186921,30.74771832,17223.61093,15548.77968,1029.35001,211.0701166,38.88067019,16.6761555,1402.314198,97,0.7280804825,0.5622734025,0.6619077228,0.920584098,206.2127275,0.005396555322,-0.03495040113,0.03159193874,15892.7,15032,15407,16707,15157
Baseline,BRIDGE,100,w17,28181.88705,27561.7727,28023.72853,28759.07317,27631.98675,43360.1242,35731.74385,41436.63529,51510.47292,49453.87898,20.53403264,0,5.027330206,62.60603104,3.881875461,15315.5109,12122.69418,355.0680906,735.050504,45.0231379,8.631463935,704.1640353,87,0.7280804825,0.5622734025,0.6619077228,0.920584098,386.8636451,-0.1118869663,-0.1084514506,-0.2349224167,18314,17775,18175,18775,17875
Baseline,NZT,100,w22,31268.87253,30087.47085,30738.06837,32832.57841,30622.79863,22021.43257,20354.35854,21969.50647,23539.45304,21567.20303,26.26017815,0,8.988690589,68.60526683,10.8582928,18308.84843,11239.96092,425.2836171,1708.324639,49.55646468,11.73854375,3181.863027,88,0.7280804825,0.5622734025,0.6619077228,0.920584098,412.8294684,-0.1447020028,-0.1199244368,-0.276823875,19523.05,18565,19475,20585,19375
Adverse,REF,5,w4,52024.17306,50452.98524,51836.81654,53957.43002,51836.81654,173445.9897,156713.4261,179509.8643,184499.804,173566.7798,95.96806561,8.108207061,30.30759311,245.2358921,30.30759311,23741.75858,27466.16721,584.7475475,778.2920774,81.57429181,37.95519674,2373.954243,80,0.5251451141,0.29587998,0.5242684903,0.7549896257,217.3236217,-0.5049773826,-0.3830759774,-0.3926799848,18437,17787,18107,19407,18207
Adverse,BRIDGE,5,w2,43785.03844,42466.19004,44003.12873,45048.91696,44003.12873,122439.1103,112635.4159,122851.2866,132440.2239,122851.2866,9.394032854,0,0,25.90094299,0,22604.47753,19141.8546,275.9246839,2035.35016,107.8082235,3.356147782,506.3828908,40,0.5251451141,0.29587998,0.5242684903,0.7549896257,327.8503894,0.08845717298,0.1783630743,0.4963466482,21595,20795,21775,22295,21775
Adverse,NZT,5,w1,50864.16286,50470.41695,50783.61526,51270.2319,50783.61526,62563.04843,61973.64714,62520.62745,63200.29508,62198.06659,285.4924919,243.6765525,270.3075333,340.9029979,237.7565902,24109.07654,19122.60973,525.532934,7269.070899,82.35199767,363.4056973,17129.32048,100,0.5251451141,0.29587998,0.5242684903,0.7549896257,201.8039113,-0.8128492981,-0.4852362983,-0.7068318707,22575,22375,22675,22735,22375
