Hydrology,Scenario,w,PNS_GWh,CO2_kt
Baseline,NZT,w13,6.712311161,22500.27391
Baseline,NZT,w14,142.6383545,20113.92944
Baseline,NZT,w15,73.13128728,22194.65744
Baseline,NZT,w16,5.45113937,22336.0852
Baseline,NZT,w17,116.2044462,20931.15905
Baseline,NZT,w18,29.00418723,21832.87916
Baseline,NZT,w19,2.669264927,20356.58678
Baseline,NZT,w2,83.26214996,22260.99337
Baseline,NZT,w20,0,20785.18354
Baseline,NZT,w21,0,21385.24224
Baseline,NZT,w22,10.8582928,21567.20303
Baseline,NZT,w23,8.619666263,19882.31644
Baseline,NZT,w24,3.717151769,23684.90579
Baseline,NZT,w25,290.2097972,27564.49331
Baseline,NZT,w26,0,21897.06753
Baseline,NZT,w27,13.92808969,22649.30434
Baseline,NZT,w28,0,20299.53173
Baseline,NZT,w29,0.3153682026,21222.06669
Baseline,NZT,w3,7.411352018,20200.22963
Baseline,NZT,w30,23.72795804,22324.60016
Baseline,NZT,w31,60.91235176,23525.51474
Baseline,NZT,w32,45.33872713,23858.43076
Baseline,NZT,w33,49.1740109,20824.86116
Baseline,NZT,w34,6.971662516,20959.82572
Baseline,NZT,w35,5.512556148,24014.87291
Baseline,NZT,w36,6.399746,22625.58104
Baseline,NZT,w37,5.069586061,23530.64711
Baseline,NZT,w38,6.665007489,22985.27895
Baseline,NZT,w39,33.07976515,21718.17395
Baseline,NZT,w4,6.602487888,22569.33204
Baseline,NZT,w40,55.64432223,21901.94962
Baseline,NZT,w41,0,20228.23081
Baseline,NZT,w42,79.52431832,22649.62276
Baseline,NZT,w43,0.4243619654,22584.1103
Baseline,NZT,w44,1.111352412,21473.76646
Baseline,NZT,w45,89.87564272,21098.34366
Baseline,NZT,w46,5.562813827,22139.48933
Baseline,NZT,w47,26.67088635,20870.06187
Baseline,NZT,w48,0,20883.04887
Baseline,NZT,w49,180.8189724,23359.50063
Baseline,NZT,w5,2.627341846,23605.67376
Baseline,NZT,w50,11.6500349,21552.61129
Baseline,NZT,w51,3.828243645,23115.53256
Baseline,NZT,w52,0,20442.56089
Baseline,NZT,w53,4.345109053,23532.09518
Baseline,NZT,w54,7.93315342,22077.2174
Baseline,NZT,w55,2.348185479,23711.45853
Baseline,NZT,w56,34.74664851,21095.29039
Baseline,NZT,w57,7.266347426,23184.24192
Baseline,NZT,w58,18.61011146,22584.35435
Baseline,NZT,w59,4.499448359,21846.22336
Baseline,NZT,w6,0,18735.86258
Baseline,NZT,w60,24.52297384,20941.62125
Baseline,NZT,w61,5.611030385,21526.49862
Baseline,NZT,w62,29.3467522,21675.67492
Baseline,NZT,w63,1.630871824,20600.24433
Baseline,NZT,w64,76.87725064,22334.5115
Baseline,NZT,w65,16.56844973,21985.59016
Baseline,NZT,w66,2.618158698,21449.19122
Baseline,NZT,w67,6.201523752,23214.0077
Baseline,NZT,w68,43.60182092,23503.71147
Baseline,NZT,w69,10.213749,21953.42277
Baseline,NZT,w7,22.82149598,26124.88854
Baseline,NZT,w70,2.372119278,22941.90035
Baseline,NZT,w71,68.10237567,22377.90773
Baseline,NZT,w72,0.6538732232,20334.30439
Baseline,NZT,w73,58.11799607,22292.91962
Baseline,NZT,w74,123.7204162,22337.99497
Baseline,NZT,w75,15.173363,22080.4623
Baseline,NZT,w76,46.00626111,21601.84263
Baseline,NZT,w77,2.109019074,20406.76877
Baseline,NZT,w78,4.040935424,21863.57575
Baseline,NZT,w79,6.923506181,22486.47136
Baseline,NZT,w8,0,19173.08146
Baseline,NZT,w80,26.3361368,22797.63088
Baseline,NZT,w81,10.12115376,23843.1736
Baseline,NZT,w82,43.51382308,21361.9169
Baseline,NZT,w83,9.357714915,21058.06794
Baseline,NZT,w84,12.20933737,23317.35466
Baseline,NZT,w85,66.8013392,22037.07301
Baseline,NZT,w86,17.46388721,22053.72122
Baseline,NZT,w87,28.73242942,22667.31782
Baseline,NZT,w88,0,21408.50429
Baseline,NZT,w89,2.653764951,21856.89274
Baseline,NZT,w9,5.539672006,23615.92934
Baseline,NZT,w90,30.12822041,23270.89682
Baseline,NZT,w91,21.97049883,20547.13007
Baseline,NZT,w92,4.583532346,19782.5211
Baseline,NZT,w93,12.64159451,21474.54051
Baseline,NZT,w94,13.35292995,21608.01521
Baseline,NZT,w95,4.524492916,23039.83192
Baseline,NZT,w96,3.208012761,23225.0773
Baseline,NZT,w97,0,21009.52351
Baseline,NZT,w98,42.1327483,22616.64676
Baseline,NZT,w99,9.442598379,21284.8392
Baseline,REF,w1,4.392514404,57782.67131
Baseline,REF,w10,0.7161941645,56126.68832
Baseline,REF,w100,46.92314316,55363.78449
Baseline,REF,w11,4.050611003,51977.60056
Baseline,REF,w12,198.446184,58692.41692
Baseline,REF,w13,45.62885111,50171.60885
Baseline,REF,w14,36.81073229,53702.07857
Baseline,REF,w15,35.42518169,56949.20963
Baseline,REF,w16,21.69487167,48305.11593
Baseline,REF,w17,0,54856.04421
Baseline,REF,w18,15.29344286,52818.55743
Baseline,REF,w19,86.97357566,55663.19867
Baseline,REF,w2,59.43820649,55767.68075
Baseline,REF,w20,63.91750013,67043.01029
Baseline,REF,w21,60.60791135,63850.40112
Baseline,REF,w22,11.93796914,60546.60724
Baseline,REF,w23,30.74771832,57983.08087
Baseline,REF,w24,118.1015356,54797.40419
Baseline,REF,w25,49.15140787,53166.90074
Baseline,REF,w26,0,64665.81107
Baseline,REF,w27,290.9383819,53403.74582
Baseline,REF,w28,101.9575058,65438.03688
Baseline,REF,w29,0.3153682026,63682.53718
Baseline,REF,w3,26.82717673,55157.86498
Baseline,REF,w30,1.639986003,53802.20398
Baseline,REF,w31,0.3554127533,52118.00287
Baseline,REF,w32,28.02228499,56575.97149
Baseline,REF,w33,2.256087214,51541.57148
Baseline,REF,w34,0,65215.25362
Baseline,REF,w35,339.0949613,60826.24692
Baseline,REF,w36,17.33338962,51402.54651
Baseline,REF,w37,36.62839379,51261.09742
