Hydrology,Scenario,Representative_w,Year,Month,Tech,GWh,Date
Baseline,REF,w23,2025,9,DIESEL,116.7277095,2025-09-01
Baseline,REF,w23,2025,9,FUEL OIL,847.0242191,2025-09-01
Baseline,REF,w23,2025,9,GAS,62.3688409,2025-09-01
Baseline,REF,w23,2025,9,GEOTHERMAL,0,2025-09-01
Baseline,REF,w23,2025,9,HYDRO,2275.669228,2025-09-01
Baseline,REF,w23,2025,9,IMPORTS,0,2025-09-01
Baseline,REF,w23,2025,9,NUCLEAR,0,2025-09-01
Baseline,REF,w23,2025,9,PV,9.140804048,2025-09-01
Baseline,REF,w23,2025,9,WIND,46.86271261,2025-09-01
Baseline,REF,w23,2025,10,BIOENERGY,94.19547842,2025-10-01
Baseline,REF,w23,2025,10,DIESEL,174.6956995,2025-10-01
Baseline,REF,w23,2025,10,FUEL OIL,729.0739743,2025-10-01
Baseline,REF,w23,2025,10,GAS,90.92249654,2025-10-01
Baseline,REF,w23,2025,10,GEOTHERMAL,0,2025-10-01
Baseline,REF,w23,2025,10,HYDRO,2315.571809,2025-10-01
Baseline,REF,w23,2025,10,IMPORTS,0,2025-10-01
Baseline,REF,w23,2025,10,NUCLEAR,0,2025-10-01
Baseline,REF,w23,2025,10,PV,9.344691644,2025-10-01
Baseline,REF,w23,2025,10,WIND,46.87153297,2025-10-01
Baseline,REF,w23,2025,11,BIOENERGY,96.31613142,2025-11-01
Baseline,REF,w23,2025,11,DIESEL,41.14403656,2025-11-01
Baseline,REF,w23,2025,11,FUEL OIL,891.1521595,2025-11-01
Baseline,REF,w23,2025,11,GAS,254.5248069,2025-11-01
Baseline,REF,w23,2025,11,GEOTHERMAL,0,2025-11-01
Baseline,REF,w23,2025,11,HYDRO,2188.211596,2025-11-01
Baseline,REF,w23,2025,11,IMPORTS,0,2025-11-01
Baseline,REF,w23,2025,11,NUCLEAR,0,2025-11-01
Baseline,REF,w23,2025,11,PV,10.92845984,2025-11-01
Baseline,REF,w23,2025,11,WIND,48.42930807,2025-11-01
Baseline,REF,w23,2025,12,BIOENERGY,94.06171524,2025-12-01
Baseline,REF,w23,2025,12,DIESEL,196.3684292,2025-12-01
Baseline,REF,w23,2025,12,FUEL OIL,825.3301115,2025-12-01
Baseline,REF,w23,2025,12,GAS,168.8734798,2025-12-01
