Hydrology,Scenario,Representative_w,Date,Year,Month,MW,ENS_GWh,CO2_kt
Baseline,REF,w23,2031-04-01,2031,4,305.3521263,0,0
Baseline,REF,w23,2031-05-01,2031,5,303.8407325,0,0
Baseline,REF,w23,2031-06-01,2031,6,297.1550582,0,0
Baseline,REF,w23,2031-07-01,2031,7,293.2155776,0,0
Baseline,REF,w23,2031-08-01,2031,8,292.4130944,0,293.2503418
Baseline,REF,w23,2031-09-01,2031,9,299.2470269,0,342.7513405
Baseline,REF,w23,2031-10-01,2031,10,300.2276144,0,358.8549784
Baseline,REF,w23,2031-11-01,2031,11,306.303071,0,351.3496007
Baseline,REF,w23,2031-12-01,2031,12,313.6260965,0,395.8087422
Baseline,REF,w23,2032-01-01,2032,1,312.1070725,0,228.2185497
Baseline,REF,w23,2032-02-01,2032,2,310.5468126,0,225.3938147
Baseline,REF,w23,2032-03-01,2032,3,315.9598037,0,0
Baseline,REF,w23,2032-04-01,2032,4,317.5662113,0,0
Baseline,REF,w23,2032-05-01,2032,5,315.9943618,0,0
Baseline,REF,w23,2032-06-01,2032,6,309.0412605,0,0
Baseline,REF,w23,2032-07-01,2032,7,304.9442007,0,0
Baseline,REF,w23,2032-08-01,2032,8,304.1096182,0,174.648899
Baseline,REF,w23,2032-09-01,2032,9,311.216908,0,318.1347956
Baseline,REF,w23,2032-10-01,2032,10,312.236719,0,292.3614395
Baseline,REF,w23,2032-11-01,2032,11,318.5551938,0,393.1937313
Baseline,REF,w23,2032-12-01,2032,12,326.1711403,0,374.981627
Baseline,REF,w23,2033-01-01,2033,1,318.349214,0,159.9820856
Baseline,REF,w23,2033-02-01,2033,2,316.7577488,0,147.7663932
Baseline,REF,w23,2033-03-01,2033,3,322.2789998,0,0
Baseline,REF,w23,2033-04-01,2033,4,323.9175355,0,0
Baseline,REF,w23,2033-05-01,2033,5,322.314249,0,0
Baseline,REF,w23,2033-06-01,2033,6,315.2220857,0,0
Baseline,REF,w23,2033-07-01,2033,7,311.0430847,0,0
Baseline,REF,w23,2033-08-01,2033,8,310.1918105,0,103.0748105
Baseline,REF,w23,2033-09-01,2033,9,317.4412461,0,142.8458408
Baseline,REF,w23,2033-10-01,2033,10,318.4814533,0,159.3027597
Baseline,REF,w23,2033-11-01,2033,11,324.9262977,0,209.6889772
Baseline,REF,w23,2033-12-01,2033,12,332.6945631,0,302.055388
Baseline,REF,w23,2034-01-01,2034,1,324.7161983,0,136.4036708
Baseline,REF,w23,2034-02-01,2034,2,323.0929038,0,140.436824
Baseline,REF,w23,2034-03-01,2034,3,328.7245798,0,0
Baseline,REF,w23,2034-04-01,2034,4,330.3958863,0,24.37097138
Baseline,REF,w23,2034-05-01,2034,5,328.760534,0,0
Baseline,REF,w23,2034-06-01,2034,6,321.5265274,0,0
Baseline,REF,w23,2034-07-01,2034,7,317.2639464,0,0
Baseline,REF,w23,2034-08-01,2034,8,316.3956467,0,51.00296964
Baseline,REF,w23,2034-09-01,2034,9,323.7900711,0,29.81696965
Baseline,REF,w23,2034-10-01,2034,10,324.8510824,0,174.8330943
Baseline,REF,w23,2034-11-01,2034,11,331.4248237,0,138.9664278
Baseline,REF,w23,2034-12-01,2034,12,339.3484544,0,232.5670599
Baseline,REF,w23,2035-01-01,2035,1,331.2105222,0,97.57032351
Baseline,REF,w23,2035-02-01,2035,2,329.5547619,0,141.191185
Baseline,REF,w23,2035-03-01,2035,3,335.2990714,0,0
Baseline,REF,w23,2035-04-01,2035,4,337.003804,0,0
Baseline,REF,w23,2035-05-01,2035,5,335.3357447,0,23.94971473
Baseline,REF,w23,2035-06-01,2035,6,327.957058,0,0
Baseline,REF,w23,2035-07-01,2035,7,323.6092253,0,0
Baseline,REF,w23,2035-08-01,2035,8,322.7235597,0,5.950260747
Baseline,REF,w23,2035-09-01,2035,9,330.2658725,0,99.15005637
