external_system,country,model_connection_bus,model_connection_name,external_model_bus,network_line_id,modeled_import_capacity_mw,display_longitude,display_latitude,display_basis
COL,Colombia,Node_3,B12_Pomasqui,,,540,-77.65000000,1.2500000000,Schematic external-system display anchor; modeled import E_IMP_Colombia_500MW is mapped to Node_3 / B12_Pomasqui.
PER,Peru,Node_23,B23_Pasaje,Node_24,Line_41,110,-80.63000000,-5.1900000000,External model bus B24_Piura displayed near Piura; the point is a model/geographic anchor rather than a verified substation geolocation.
